id,timestamp,url,message_type,message_class,message_content
5709,1487325412785 ,/service/charting/resource/image?path=/book/image/ffe185fe-37ae-475d-bac3-b9042d0e0f36.png GET,ERROR,[com.neusoft.saca.dataviz.charting.controller.ResourceController],Errorfilepath:/book/image/ffe185fe-37ae-475d-bac3-b9042d0e0f36.png
5710,1487325412786 ,/service/charting/resource/image?path=/book/image/30a2a611-b179-4778-a676-fb87a5998b27.png GET,ERROR,[com.neusoft.saca.dataviz.charting.controller.ResourceController],Errorfilepath:/book/image/30a2a611-b179-4778-a676-fb87a5998b27.png
5711,1487325412842 ,/service/charting/resource/image?path=/book/image/c52a11c2-145c-4284-9a17-af9f3c238022.png GET,ERROR,[com.neusoft.saca.dataviz.charting.controller.ResourceController],Errorfilepath:/book/image/c52a11c2-145c-4284-9a17-af9f3c238022.png
5712,1487325478524 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
5713,1487325560261 ,/service/charting/chartbookdata ajax PUT,ERROR,[com.neusoft.saca.dataviz.charting.controller.ChartingController],Accessisdenied
5811,1487325794849 ,/service/resource/sharing/resource?code=275249f71b9d074e ajax GET,ERROR,[com.neusoft.chartsshow.books.controller.ResourceSharingController],�?要登录\n
5812,1487325803811 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
5813,1487325935513 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
5907,1487326302322 ,/service/charting/resource/image?path=/book/image/36ceb6de-4985-4c3a-ba55-e9d185bfbf16.png GET,ERROR,[com.neusoft.saca.dataviz.charting.controller.ResourceController],Errorfilepath:/book/image/36ceb6de-4985-4c3a-ba55-e9d185bfbf16.png
5908,1487326302327 ,/service/charting/resource/image?path=/book/image/20e862b7-a8ad-4a24-982b-4c91d72219ae.png GET,ERROR,[com.neusoft.saca.dataviz.charting.controller.ResourceController],Errorfilepath:/book/image/20e862b7-a8ad-4a24-982b-4c91d72219ae.png
