clients,cpu,httpMeanTimes,threadCount,usedMemory,httpSessions
0,0,11,25,204653000,0
0,0,11,25,209108000,0
0,0,11,25,213341000,0
0,0,11,25,217952000,0
0,0,11,25,222032000,0
0,0,11,25,226311000,0
0,0,11,25,230547000,0
0,0,11,25,235014000,0
0,0,11,25,239251000,0
0,0,11,25,243534000,0
0,0,11,25,247634000,0
0,0,1,25,251974000,1
0,0,1,25,256988000,1
0,0,11,25,261384000,1
0,0,11,25,265911000,1
0,0,11,25,270523000,1
0,0,11,25,274778000,1
0,0,11,25,278856000,1
0,0,11,25,283455000,1
0,0,11,25,212236000,1
0,0,11,25,216421000,1
0,0,11,25,221083000,1
0,0,11,25,224855000,1
0,0,11,25,229345000,1
0,0,11,25,233532000,1
0,0,11,25,238194000,1
0,0,11,25,242441000,1
0,0,30,25,254347000,2
0,0,30,25,259480000,2
0,0,30,25,263240000,2
0,0,30,25,267904000,2
0,0,30,25,272368000,2
0,0,30,25,276553000,2
0,0,30,25,280780000,2
0,0,30,25,284961000,2
0,0,30,25,289415000,2
0,0,30,25,216724000,2
0,0,9,25,220773000,2
0,0,9,25,226356000,2
0,0,9,25,230227000,2
0,0,9,25,234309000,2
0,0,9,25,238665000,2
0,0,9,25,243047000,1
0,0,9,25,247603000,1
0,0,9,25,251468000,1
0,0,9,25,255536000,1
0,0,9,25,260382000,1
0,0,9,25,264451000,1
0,0,9,25,268788000,1
0,0,9,25,273169000,1
0,0,9,25,277264000,1
0,0,9,25,281618000,1
0,0,9,25,285697000,1
0,0,9,25,290536000,1
0,0,9,25,105949000,1
0,0,9,25,112025000,1
0,0,9,25,116243000,1
0,0,9,25,120461000,1
0,0,9,25,124677000,0
0,0,9,25,128893000,0
0,0,9,25,133907000,0
0,0,14,25,138322000,0
0,0,14,25,143106000,0
0,0,14,25,147332000,0
0,0,14,25,151551000,0
0,0,14,25,156323000,0
0,0,14,25,160539000,0
0,0,14,25,164775000,0
0,0,14,25,168992000,0
0,0,14,25,173937000,0
0,0,14,25,178143000,0
0,0,14,25,182916000,0
0,0,14,25,118919000,0
0,0,14,25,123355000,0
0,0,14,25,127786000,0
0,0,14,25,132220000,0
0,0,14,25,136664000,0
0,0,14,25,141103000,0
0,0,14,25,145535000,0
0,0,14,25,149970000,0
