HTTP_SYSTEM_ERROR,activeConnections,activeThreads,clients,cpu,deadLockThreads,fileDescriptors,free_disk_space,gc,http2xxNum,http4xxNum,http5xxNum,httpHitsRate,httpMeanTimes,httpSessions,httpSessionsMeanAge,httpSystemErrors,http_Cpu_Time_Sum,http_Durations_Sum,http_Error_Hits,http_Gobal_Hits,loadedClassesCount,runningThreads,systemLoad,threadCount,tomcatBusyThreads,tomcatBytesReceived,tomcatBytesSent,usedConnections,usedMemory,usedNonHeapMemory,usedPhysicalMemorySize,usedSwapSpaceSize
4,0,2,27,3,0,82,27546100000,0,33590,15,47,394,127,1758,14,0,4,0,54,33605,8048,7,0.13,26,2,0,8508600,10,77108500,58218300,1028550000,0
4,0,3,27,3,0,85,27545300000,0,33984,15,47,371,183,1766,14,0,4,0,54,33999,8048,7,0.33,26,3,0,8454460,10,53325700,58228900,1030070000,0
4,0,3,27,3,0,85,27544300000,0,34355,15,47,344,404,1809,14,0,4,0,54,34370,8048,7,0.27,26,3,0,8294950,10,52523900,58200300,1031820000,0
4,0,1,27,3,0,83,27543500000,0,34699,15,47,381,202,1825,14,0,4,0,54,34714,8048,7,0.15,26,1,0,8400730,10,57477300,58249600,1034220000,0
4,0,0,24,3,0,86,27543000000,0,35080,15,47,432,86,1798,14,0,4,0,55,35095,8048,8,0.06,26,0,0,8464610,10,54416500,58249600,1035080000,0
4,0,2,24,3,0,83,27542300000,0,35512,15,47,428,61,1811,15,0,4,0,55,35527,8048,7,0.36,26,2,0,8310840,10,80996800,58252100,1037050000,0
4,0,0,27,3,0,81,27541900000,0,35940,15,47,464,81,1761,15,0,4,0,55,35955,8048,7,0.19,26,0,0,8322490,10,60436100,58257400,1037270000,0
4,0,5,26,3,0,84,27541300000,0,36404,15,47,406,103,1723,15,0,4,0,55,36419,8048,7,0.07,26,5,0,8422470,10,54288100,58293000,1039130000,0
4,0,3,22,2,0,83,27540500000,0,36810,15,47,300,550,1760,15,0.333333,4,0,55,36825,8048,7,0.07,26,3,0,8548120,10,55159300,58295200,1043710000,0
4,0,0,18,2,0,81,27540100000,0,37110,15,48,343,193,1768,15,0,4,0,56,37125,8048,7,0.03,26,0,0,8492570,10,70065200,58309900,1044030000,0
4,0,0,18,3,0,116,27539400000,0,37453,15,48,422,32,1796,15,0,4,0,56,37468,8049,7,0.12,26,0,0,8419940,10,61352600,58305400,1045070000,0
4,0,1,19,3,0,113,27538600000,0,37875,15,48,416,50,1804,15,0,4,0,56,37890,8049,7,0.12,26,1,0,8372320,10,62977600,58308200,1046460000,0
