"_0","_1","_2","_3","_4","_5","_6","_7","_8","_9","_10","_11","_12","_13","_14","_15","_16","_17","_18","_19","_20","_21","_22","_23","_24","_25","_26","_27","_28","_29","_30","_31","_32","_33","_34","_35","_36"
"1.0","5.0","4.0","4.0","4.0","3.0","4.0","5.0","4.0","40.285714285714285","54.8","3.0","1.4444444444444444","2.0","2.6666666666666665","3.0","3.0","4.0","0.6","2.0","1.0","4.0","1.0","1006.6666666666666","1.6666666666666667","89.0","0.0","51.0","847.3229665071771","3.0","1.0","3.0","2.0","3.0","1.0","3.0","3.0"
"1.0","5.0","3.0","4.0","3.0","3.0","3.0","5.0","3.0","33.642857142857146","54.2","3.0","1.1111111111111112","1.0","2.6666666666666665","3.0","3.0","3.0","0.2","2.0","1.0","3.0","1.0","1006.6666666666666","1.3333333333333333","90.0","0.0","49.0","468.9101941747573","3.0","1.0","4.0","1.0","3.0","3.0","3.0","3.0"
"1.0","5.0","3.0","4.0","3.0","3.0","3.0","5.0","3.0","34.5625","54.8","3.0","1.3333333333333333","1.0","2.6666666666666665","4.0","3.0","3.0","0.2","2.0","1.0","3.0","0.6666666666666666","1006.6666666666666","1.3333333333333333","132.0","0.0","52.0","1493.9633507853403","3.0","1.0","3.0","2.0","3.0","1.0","3.0","3.0"
"1.0","5.0","3.0","4.0","17.0","3.0","3.0","4.0","3.0","37.0","56.6","3.0","1.2222222222222223","3.0","2.3333333333333335","3.0","3.0","2.0","0.4","2.0","1.0","3.0","0.6666666666666666","1006.6666666666666","1.5","107.0","0.0","52.0","496.0570570570571","3.0","0.0","15.0","1.0","3.0","2.0","3.0","3.0"
"1.0","4.0","3.0","4.0","15.0","3.0","3.0","4.0","3.0","37.53333333333333","57.0","3.0","1.1666666666666667","1.0","2.6666666666666665","3.0","3.0","4.0","0.8","2.0","1.0","3.0","0.6666666666666666","1007.0","1.1666666666666667","94.0","0.0","50.0","343.5329341317365","3.0","0.6666666666666666","3.0","2.0","3.0","1.0","3.0","3.0"
"1.0","5.0","3.0","4.0","12.0","3.0","3.0","5.0","3.0","43.07692307692308","54.8","3.0","1.3888888888888888","2.0","2.3333333333333335","3.0","3.0","4.0","0.2","2.0","1.0","3.0","1.0","1007.0","1.1666666666666667","95.0","13.0","47.0","292.093567251462","3.0","1.0","3.0","2.0","3.0","2.0","3.0","4.0"
"1.0","5.0","4.0","4.0","3.0","3.0","3.0","22.0","3.0","41.6","56.0","4.0","1.4444444444444444","4.0","2.6666666666666665","4.0","4.0","3.0","0.2","2.0","2.0","3.0","1.0","1007.3333333333334","1.3333333333333333","98.0","0.0","63.0","365.6077844311377","3.0","1.0","3.0","1.0","3.0","2.0","4.0","3.0"
"1.0","5.0","3.0","4.0","4.0","3.0","3.0","5.0","3.0","42.5","54.8","4.0","1.3888888888888888","2.0","2.6666666666666665","3.0","3.0","4.0","0.2","2.0","2.0","3.0","1.0","1008.0","1.5","100.0","0.0","55.0","999.5940366972477","3.0","1.0","3.0","2.0","3.0","1.0","3.0","3.0"
"1.0","0.0","0.0","0.0","9.0","0.0","0.0","0.0","0.0","12.0","54.6","0.0","0.0","2.0","2.6666666666666665","0.0","0.0","4.0","0.6","2.0","1.0","0.0","1.0","1007.3333333333334","1.3333333333333333","101.0","0.0","51.0","905.375","0.0","1.0","0.0","5164.0","0.0","1.0","0.0","0.0"
"1.0","4.0","3.0","4.0","3.0","3.5","3.0","4.0","3.0","96.24","53.2","3.0","1.1612903225806452","3.0","2.6666666666666665","3.0","3.5","3.0","0.2","3.0","2.0","3.0","1.0","1008.6666666666666","1.5","92.0","0.0","0.0","612.2791208791209","3.0","1.0","3.0","1.0","3.5","1.0","3.5","4.0"
"1.0","5.0","3.0","4.0","11.0","3.0","3.0","6.0","3.0","44.0","54.2","4.0","1.2777777777777777","2.0","2.6666666666666665","4.0","3.0","3.0","0.4","2.0","2.0","4.0","1.0","1007.3333333333334","1.3333333333333333","95.0","0.0","51.0","466.9573170731707","4.0","1.0","3.0","1.0","3.0","1.0","3.0","4.0"
"1.0","6.0","4.0","4.0","3.0","4.0","3.0","5.0","4.0","40.285714285714285","54.2","4.0","1.5555555555555556","3.0","2.6666666666666665","5.0","4.0","3.0","0.4","2.0","0.0","4.0","1.0","1007.3333333333334","1.2","89.0","0.0","51.0","492.5662983425414","3.0","0.6666666666666666","4.0","2.0","3.0","2.0","3.0","4.0"
"1.0","6.0","4.0","4.0","2.0","3.0","3.0","5.0","4.0","34.86666666666667","52.4","19.0","1.2222222222222223","0.0","3.5","3.0","4.0","8.0","0.4","2.0","0.0","3.0","1.0","1007.0","1.4285714285714286","88.0","0.0","56.0","1003.4538834951456","3.0","1.0","4.0","2.0","3.0","2.0","3.0","3.0"
"1.0","5.0","3.0","4.0","9.0","3.0","4.0","5.0","3.0","41.0","53.6","3.0","1.3888888888888888","1.0","2.6666666666666665","3.0","3.0","3.0","0.2","2.0","1.0","4.0","1.0","1006.0","1.6","86.0","0.0","58.0","140.40540540540542","4.0","1.0","4.0","2.0","3.0","1.0","3.0","4.0"
"1.0","5.0","18.0","4.0","5.0","4.0","5.0","5.0","3.0","46.18181818181818","54.4","4.0","1.3888888888888888","2.0","4.0","4.0","3.0","2.0","0.8","2.0","1.0","3.0","1.0","1006.5","1.1428571428571428","86.0","0.0","55.0","313.36150234741785","4.0","1.0","3.0","2.0","3.0","1.0","3.0","4.0"
"1.0","4.0","3.0","4.0","14.0","3.0","3.0","4.0","3.0","19.0","53.6","3.0","1.2222222222222223","1.0","2.6666666666666665","3.0","3.0","3.0","0.4","2.0","1.0","3.0","1.0","1006.3333333333334","1.5","93.0","0.0","47.0","348.858310626703","3.0","1.0","3.0","2.0","3.0","1.0","3.0","3.0"
"1.0","5.0","3.0","4.0","9.0","4.0","14.0","5.0","4.0","35.8125","53.0","3.0","1.1666666666666667","1.0","2.6666666666666665","3.0","4.0","4.0","0.6","2.0","1.0","3.0","1.0","1006.3333333333334","1.3333333333333333","90.0","0.0","49.0","362.29597701149424","3.0","1.0","4.0","1.0","3.0","1.0","3.0","3.0"
"1.0","4.0","3.0","4.0","3.0","3.0","3.0","4.0","3.0","39.25","54.8","3.0","1.3333333333333333","1.0","2.6666666666666665","4.0","3.0","3.0","0.2","2.0","1.0","4.0","1.0","1006.5","1.5","79.0","0.0","50.0","535.9391534391534","3.0","1.0","4.0","2.0","3.0","1.0","3.0","4.0"
"1.0","3.0","3.0","3.0","8.0","1.0","3.0","3.0","2.0","38.125","53.2","3.0","1.3333333333333333","2.0","2.6666666666666665","3.0","3.0","4.0","1.2","2.0","2.0","2.0","1.0","1014.3333333333334","1.1666666666666667","95.0","0.0","49.0","432.9734513274336","2.0","0.6666666666666666","2.0","1.0","3.0","1.0","2.0","2.0"
"1.0","0.0","0.0","4.0","8.0","0.0","0.0","5.0","0.0","40.8","54.0","0.0","1.3333333333333333","1.0","2.6666666666666665","3.0","0.0","3.0","0.2","2.0","1.0","3.0","1.0","1006.0","1.5","87.0","0.0","49.0","322.48","3.0","1.0","0.0","0.0","0.0","1.0","0.0","3.0"
