load,cpu,memory,java,sshd,dumpcap,top,flush-253:0,khugepaged,kswapd0,metricbeat,node_exporter,prometheus,python,tshark,maincpu,main,vim,java,sshd,dumpcap,top,flush-253:0,khugepaged,kswapd0,metricbeat,node_exporter,prometheus,python,tshark,maincpu,main,vim
0.192916669,0.326316665,0.418750003,0.054245833,0,1.25E-04,5.83E-04,0,0,0,0.003758333,1.67E-04,0.007191667,0.008304167,0.0015,0.246262498,0,0,0.275866666,8.00E-04,0.0014,1.00E-04,0,0,0,0.0014,0.0015,0.100299999,0.0035,0.0045,1.00E-04,0,0
0.167916665,0.370283326,0.418750003,0.075729167,0,2.92E-04,6.67E-04,4.17E-05,0,0,0.004666667,2.92E-04,0.0024625,0.023629167,0.005875,0.244541665,0,0,0.275983332,8.00E-04,0.0014,1.00E-04,0,0,0,0.0014,0.0015,0.100299999,0.0035,0.004533333,1.00E-04,0,0
0.204166666,0.342049996,0.418850005,0.063320834,0,1.25E-04,7.08E-04,0,0,0,0.004829167,2.92E-04,0.010075,0.01375,0.0028375,0.244116666,0,0,0.276333333,8.00E-04,0.0014,1.00E-04,0,0,0,0.0014,0.0015,0.100299999,0.0035,0.0046,1.00E-04,0,0
0.217916667,0.341133336,0.418916677,0.071,0,2.08E-04,5.83E-04,0,0,0,0.003295833,2.50E-04,0.0022125,0.011679166,0.0024625,0.244824998,0,0,0.27635,8.00E-04,0.0014,1.00E-04,0,0,0,0.0014,0.0015,0.100299999,0.0035,0.004616667,1.00E-04,0,0
0.195,0.356833339,0.418950006,0.076687501,0,1.67E-04,6.25E-04,4.17E-05,0,0,0.003833333,2.08E-04,0.007379167,0.008004167,0.001458333,0.244887501,0,0,0.27855,8.00E-04,0.0014,1.00E-04,0,0,0,0.0014,0.0015,0.100299999,0.0035,0.0047,1.00E-04,0,0
0.290833339,0.364766667,0.418950006,0.068541667,0,1.67E-04,6.25E-04,0,0,0,0.003041667,3.33E-04,0.002166667,0.019041667,0.004166667,0.245829167,0,0,0.275966664,8.00E-04,0.0014,1.00E-04,0,0,0,0.0014,0.0015,0.100299999,0.0035,0.0047,1.00E-04,0,0
0.470000004,0.418483327,0.419049993,0.066891667,0,1.67E-04,6.67E-04,0,0,0,0.00375,2.50E-04,0.007541666,0.009579167,0.0017875,0.245345836,0,0,0.276099996,8.00E-04,0.0014,1.00E-04,0,0,0,0.0014,0.0015,0.100299999,0.0035,0.0047,1.00E-04,0,0
0.350833332,0.357050012,0.419233332,0.068708333,0,2.50E-04,7.50E-04,4.17E-05,0.001791667,0,0.002958333,2.50E-04,0.002083333,0.026958333,0.005958333,0.244608333,0,0,0.276533331,8.00E-04,0.0014,1.00E-04,0,0,0,0.0014,0.0015,0.100299999,0.0035,0.004783334,1.00E-04,0,0
0.331666663,0.337749998,0.420383339,0.058179167,0,1.67E-04,6.25E-04,0,0.002079167,0,0.004754167,2.08E-04,0.007254166,0.012125,0.002704167,0.245020832,0,0,0.277499998,8.00E-04,0.0014,1.00E-04,0,0,0,0.0014,0.0015,0.100299999,0.0035,0.005,1.00E-04,0,0
0.27375,0.343066682,0.420700004,0.067537501,0,2.08E-04,5.00E-04,0,0.001625,0,0.003,2.50E-04,0.002,0.016579167,0.003791667,0.24515417,0,0,0.277866664,8.00E-04,0.0014,1.00E-04,0,0,0,0.0014,0.0015,0.100299999,0.0035,0.005,1.00E-04,0,0
