HTTP_SYSTEM_ERROR,activeConnections,activeThreads,clients,cpu,fileDescriptors,free_disk_space,http2xxNum,http4xxNum,http5xxNum,httpHitsRate,httpMeanTimes,httpSessions,httpSessionsMeanAge,httpSystemErrors,http_Cpu_Time_Sum,http_Durations_Sum,http_Error_Hits,http_Gobal_Hits,loadedClassesCount,runningThreads,systemLoad,threadCount,tomcatBusyThreads,tomcatBytesSent,usedConnections,usedMemory,usedNonHeapMemory,usedPhysicalMemorySize
1,0,0,20,2,205,25346400000,6238,0,1,398,131,1321,15,0.251256,3,0,0,6238,8826,7,0.19,29,0,8435550,138,386640000,69554200,1786220000
2,0,2,17,3,213,25345500000,6635,1,1,402,249,1347,14,0,3,0,2,6636,8826,7,0.15,29,2,8239740,138,369056000,69561000,1787440000
2,0,0,19,3,206,25344900000,7037,1,1,447,90,1308,14,0,3,0,1,7038,8826,7,0.06,29,0,8386450,138,374600000,69566700,1787920000
2,0,2,15,3,203,25344100000,7484,1,1,405,302,1282,13,0,2,0,1,7485,8826,7,0.22,29,2,8227500,133,361672000,69603500,1789170000
2,0,0,13,2,197,25343600000,7889,1,1,422,137,1262,13,0,3,0,1,7890,8826,7,0.13,29,0,8346340,134,336855000,69609800,1789400000
2,0,0,9,2,199,25343300000,8311,1,1,364,208,1266,14,0.274725,2,0,1,8312,8826,7,0.05,29,0,8420650,134,316694000,69642100,1789920000
2,0,2,9,3,197,25342900000,8675,1,2,371,47,1270,14,0,2,0,1,8676,8826,7,0.06,29,2,8232380,134,324864000,69718800,1790490000
2,0,0,6,2,193,25342500000,9046,1,2,411,38,1255,14,0,2,0,1,9047,8826,7,0.2,29,0,8354830,134,302458000,69751100,1790870000
2,0,1,10,2,195,25342200000,9457,1,2,360,13,1249,15,0,2,0,1,9458,8826,8,0.08,29,1,5974380,135,383192000,69768400,1791350000
2,0,1,7,4,201,25340700000,9817,1,2,385,77,1277,14,0,2,0,1,9818,8826,7,0.11,29,1,8052220,137,309287000,69801400,1792960000
2,1,1,10,3,196,25340000000,10202,1,2,383,20,1330,14,0,2,0,1,10203,8826,8,0.04,29,1,6766650,137,269992000,69802200,1793780000
2,0,1,14,5,200,25338800000,10585,1,2,342,149,1363,13,0,2,0,1,10586,8826,7,0.06,29,1,8348130,135,320725000,70002200,1794740000
2,0,0,14,3,205,25338000000,10927,1,2,277,449,1420,14,0,2,0,1,10928,8826,7,0.02,29,0,8469420,137,297265000,70126000,1795950000
2,0,0,12,2,200,25337500000,11204,1,2,434,25,1424,14,0,3,0,1,11205,8826,7,0.01,29,0,8227520,137,391047000,70173800,1796420000
2,0,1,11,2,200,25337200000,11638,1,2,389,189,1435,15,0,2,0,1,11639,8826,7,0.75,29,1,8306880,134,360176000,70186500,1796880000
2,0,2,8,2,202,25336800000,12027,1,2,357,147,1410,15,0,2,0,1,12028,8826,7,0.28,29,2,8237440,135,322281000,70199600,1797290000
2,0,0,8,2,193,25336500000,12384,1,2,317,120,1395,15,0,2,0,1,12385,8826,7,0.1,29,0,8417070,135,275549000,70219200,1797570000
2,0,0,9,3,195,25335900000,12701,1,2,445,15,1378,15,0,2,0,1,12702,8826,7,0.1,29,0,7932490,133,335914000,70268400,1798370000
2,0,0,10,3,191,25335300000,13146,1,2,493,12,1389,15,0,2,0,1,13147,8826,7,0.04,29,0,8170400,133,365160000,70268400,1799100000
2,0,2,12,5,197,25333700000,13639,1,2,447,47,1458,15,0,2,0,1,13640,8826,7,0.15,29,2,8382390,133,397886000,70323800,1800990000
2,0,1,8,3,198,25332400000,14086,1,2,309,269,1529,14,0.323625,2,0,1,14087,8826,7,0.52,29,1,8396220,134,377822000,70324600,1802330000
2,0,0,8,2,195,25332000000,14395,1,3,394,97,1504,15,0,3,0,3,14396,8826,7,0.63,29,0,7373060,134,343580000,70324600,1802860000
2,0,1,12,2,199,25331700000,14789,1,3,345,123,1476,15,0,2,0,3,14790,8826,7,0.48,29,1,8034090,134,299886000,70337400,1803310000
2,0,0,12,2,202,25330800000,15134,1,3,248,453,1456,14,0,2,0,1,15135,8826,7,0.18,29,0,8272080,137,275238000,70341800,1804130000
2,0,0,9,2,200,25330400000,15382,1,3,432,53,1424,14,0,2,0,1,15383,8826,7,0.06,29,0,8340140,137,372677000,70341800,1804820000
2,0,0,6,3,195,25329700000,15814,1,3,466,16,1439,15,0,2,0,1,15815,8826,7,0.02,29,0,8233230,134,311119000,70342700,1805410000
2,0,0,10,1,192,25329500000,16280,1,3,265,83,1406,15,0,2,0,1,16281,8826,8,0.08,29,0,8230410,133,380705000,70342700,1805830000
2,0,0,13,3,200,25328300000,16545,1,3,383,75,1469,15,0,2,0,1,16546,8826,7,0.18,29,0,8134120,137,316800000,70356700,1807160000
